央视,#genre#
CCTV1 720P,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=c51d5bdf7da3f733f5f7fec9903f7fae&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260305115442&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.134.79.60&SecurityKey=20260305115442&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=74987fee164fec94c61cb4a6c0253aac&sv=10004&ct=android&playUrlSsn=c51d5bdf7da3f733f5f7fec9903f7fae1772682880715&prlId=c51d5bdf7da3f733f5f7fec9903f7fae1772682880716&jid=c51d5bdf7da3f733f5f7fec9903f7fae1772682880451V&is_advertise=0&sjid=subsession_1772682881050&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b77e1bd18b82833df5960bb9e9fa5be4$源:b4d3
CCTV1 720P,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=c51d5bdf7da3f733f5f7fec9903f7fae&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260305114950&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=116.140.216.183&SecurityKey=20260305114950&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=b657117c2997da5aac04d33b14507cf0&sv=10004&ct=android&playUrlSsn=c51d5bdf7da3f733f5f7fec9903f7fae1772682588971&prlId=c51d5bdf7da3f733f5f7fec9903f7fae1772682588973&jid=c51d5bdf7da3f733f5f7fec9903f7fae1772682588732V&is_advertise=0&sjid=subsession_1772682589253&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ce6990eb45db9af97b05da29f1d46219$源:1743
CCTV1 720P,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/01.m3u8?msisdn=c51d5bdf7da3f733f5f7fec9903f7fae&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260305115221&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.134.79.193&SecurityKey=20260305115221&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=3a44cb8a67c62ebf7f52aaab06f92d34&sv=10004&ct=android&playUrlSsn=c51d5bdf7da3f733f5f7fec9903f7fae1772682739835&prlId=c51d5bdf7da3f733f5f7fec9903f7fae1772682739836&jid=c51d5bdf7da3f733f5f7fec9903f7fae1772682739581V&is_advertise=0&sjid=subsession_1772682740155&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=81b5565d27533f7eddb7368c3d472886$源:3aba
CCTV1 1080P,http://175.154.151.98:808/hls/1/index.m3u8$源:b50d
CCTV2 720P,http://pull-hls-f11.douyincdn.com/media/stream-118899562654991020.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1773218365&major_anchor_level=common&sign=821612d0a7b01fb226f8f39d97d19fc2&t_id=037-20260304163924497A73460AD8D5D628AF-n87Lsu$源:021a
CCTV2 720P,https://iptv.catvod.com/live.php?id=CCTV2&line=12$源:0afb
CCTV2 1080P,http://175.154.151.98:808/hls/2/index.m3u8$源:3a34
CCTV3 1080P,http://175.154.151.98:808/hls/3/index.m3u8$源:0401
CCTV4 720P,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv4hd265/51/20191230/01.m3u8?msisdn=c51d5bdf7da3f733f5f7fec9903f7fae&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260305115926&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=111.170.155.47&SecurityKey=20260305115926&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.2.2-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=283966568af3e0787dd006b157b20036&sv=10004&ct=android&playUrlSsn=c51d5bdf7da3f733f5f7fec9903f7fae1772683164827&prlId=c51d5bdf7da3f733f5f7fec9903f7fae1772683164829&jid=c51d5bdf7da3f733f5f7fec9903f7fae1772683164575V&is_advertise=0&sjid=subsession_1772683165043&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=db38c62d5b6e17aa1bc45fa89df3f148$源:7b4c
CCTV4 1080P,http://175.154.151.98:808/hls/4/index.m3u8$源:3c21
